File                                sources  ra_min      ra_max      dec_min     dec_max
GaiaSource_143214-145582.csv.fapec  549066   210.953073  236.234922  19.477313   35.668711
GaiaSource_145583-147785.csv.fapec  545913   213.766779  252.411933  19.474319   41.791514
GaiaSource_147786-148932.csv.fapec  525462   241.880967  258.737313  22.034130   31.378894
GaiaSource_148933-150327.csv.fapec  528383   236.272247  257.332751  24.643406   35.677123
GaiaSource_150328-151647.csv.fapec  529856   239.069416  261.548102  30.009474   41.806855
GaiaSource_151648-152645.csv.fapec  523746   253.132853  266.477586  31.397030   41.797980
GaiaSource_152646-153560.csv.fapec  523619   258.759048  269.999972  37.173322   46.948008
GaiaSource_153561-154811.csv.fapec  527990   247.515463  269.999980  35.694692   48.128921
GaiaSource_154812-156142.csv.fapec  526721   233.448701  269.999911  30.022738   54.323636
GaiaSource_156143-158209.csv.fapec  536820   227.666149  247.494457  32.809004   48.126621
GaiaSource_158210-160279.csv.fapec  535022   225.010112  257.142264  38.896477   54.329524
GaiaSource_160280-161702.csv.fapec  526659   244.288724  269.999993  45.804537   58.899643
GaiaSource_161703-163359.csv.fapec  528526   240.043480  270.000283  48.168072   63.425139
GaiaSource_163360-165788.csv.fapec  541509   196.889305  269.999905  19.477933   66.436149
GaiaSource_165789-169159.csv.fapec  562471   191.262983  222.185722  24.639148   41.790085
GaiaSource_169160-172467.csv.fapec  555360   188.454333  224.965423  30.023685   54.324801
GaiaSource_172468-176297.csv.fapec  571690   179.999166  203.993681  32.807809   54.315422
GaiaSource_176298-179861.csv.fapec  562158   180.000025  209.973414  44.812749   63.418433
GaiaSource_179862-182643.csv.fapec  541060   180.000115  239.976525  41.827683   66.427643
GaiaSource_182644-185173.csv.fapec  539012   210.017205  251.982884  51.277135   66.433699
GaiaSource_185174-186938.csv.fapec  526365   227.661571  270.000059  60.444403   72.364989
GaiaSource_186939-188926.csv.fapec  529476   204.569354  270.000114  54.367625   78.268768
GaiaSource_188927-191879.csv.fapec  543356   180.000125  224.974810  57.418457   73.857078
GaiaSource_191880-194042.csv.fapec  528991   180.000125  269.999509  66.458425   80.844680
GaiaSource_194043-195959.csv.fapec  524752   180.000133  269.999872  72.411844   85.241346
GaiaSource_195960-196976.csv.fapec  521368   180.000262  320.617171  0.003984    89.990052
GaiaSource_196977-197459.csv.fapec  515845   309.383954  319.915795  2.394653    7.179539
GaiaSource_197460-198140.csv.fapec  537756   312.194529  326.243544  4.787790    11.717558
GaiaSource_198141-198695.csv.fapec  541316   308.332015  323.784251  4.786925    14.474204
GaiaSource_198696-199005.csv.fapec  508795   306.565845  314.994952  5.680610    10.045106
GaiaSource_199006-199284.csv.fapec  509079   305.158877  314.461985  7.181649    12.023198
GaiaSource_199285-199493.csv.fapec  506327   303.753636  311.474165  8.389434    12.024000
GaiaSource_199494-199774.csv.fapec  511768   306.568572  317.807857  9.595680    14.474417
GaiaSource_199775-200211.csv.fapec  523438   311.493511  320.618477  10.812764   16.950762
GaiaSource_200212-200517.csv.fapec  524276   309.379801  317.098950  12.638087   16.956391
GaiaSource_200518-201151.csv.fapec  531564   312.193428  331.869241  9.600049    19.469605
GaiaSource_201152-202030.csv.fapec  536904   320.631503  336.079502  12.030380   19.462970
GaiaSource_202031-202882.csv.fapec  534741   318.871987  337.483237  14.483551   24.615533
GaiaSource_202883-203400.csv.fapec  531502   315.881082  326.241718  16.025167   22.020411
GaiaSource_203401-203842.csv.fapec  526575   315.004595  327.998700  18.682487   24.615319
GaiaSource_203843-204437.csv.fapec  528233   321.339169  331.868502  20.755867   27.267893
GaiaSource_204438-204827.csv.fapec  515467   303.048638  329.049989  9.596319    29.994734
GaiaSource_204828-204960.csv.fapec  506788   301.465584  306.555693  10.200678   13.243727
GaiaSource_204961-205073.csv.fapec  504765   300.937813  307.610914  11.569474   14.473075
GaiaSource_205074-205233.csv.fapec  508396   303.756401  309.371924  12.637735   15.705431
GaiaSource_205234-205346.csv.fapec  508303   299.886065  307.967877  12.027742   16.951036
GaiaSource_205347-205424.csv.fapec  500873   299.532874  303.747493  12.942424   15.092610
GaiaSource_205425-205483.csv.fapec  501316   298.126688  303.041476  13.248756   15.712307
GaiaSource_205484-205542.csv.fapec  500994   298.477862  302.341304  14.478389   16.332025
GaiaSource_205543-205624.csv.fapec  503281   299.534641  305.154172  14.481413   16.955626
GaiaSource_205625-205724.csv.fapec  508043   301.641842  306.561515  15.715782   18.207834
GaiaSource_205725-205802.csv.fapec  504474   300.938073  305.153321  16.337635   18.836971
GaiaSource_205803-205976.csv.fapec  517461   302.523044  312.182586  14.482000   19.469447
GaiaSource_205977-206183.csv.fapec  523269   306.565016  314.998227  16.337589   20.100662
GaiaSource_206184-206374.csv.fapec  520313   305.510465  314.294624  16.961723   22.017904
GaiaSource_206375-206497.csv.fapec  523483   304.279218  309.367388  17.899184   20.737110
GaiaSource_206498-206604.csv.fapec  523256   303.754042  310.070491  18.999235   22.023633
GaiaSource_206605-206756.csv.fapec  523131   306.918595  312.182883  20.106741   23.315462
GaiaSource_206757-206857.csv.fapec  508271   297.598994  310.773830  14.480227   24.623924
GaiaSource_206858-206892.csv.fapec  498403   296.721218  299.530862  14.940808   16.332062
GaiaSource_206893-206931.csv.fapec  506920   297.070692  300.583327  15.714666   16.957472
GaiaSource_206932-206974.csv.fapec  507812   298.126713  300.933888  16.335846   18.052068
GaiaSource_206975-207000.csv.fapec  497622   296.017593  299.705550  15.714795   18.208913
GaiaSource_207001-207023.csv.fapec  513732   295.313973  297.772883  16.335770   17.581619
GaiaSource_207024-207049.csv.fapec  499947   296.016344  298.825293  16.958452   18.208212
GaiaSource_207050-207079.csv.fapec  496771   297.071428  299.527327  17.427495   18.838779
GaiaSource_207080-207108.csv.fapec  503114   296.719873  301.462909  16.959530   19.469970
GaiaSource_207109-207165.csv.fapec  502720   299.535905  302.342890  17.271433   19.311387
GaiaSource_207166-207227.csv.fapec  503074   300.588977  303.744656  18.213691   20.420980
GaiaSource_207228-207268.csv.fapec  498988   298.478558  302.693026  18.211760   20.741051
GaiaSource_207269-207305.csv.fapec  507890   298.126751  301.640175  19.156723   20.741066
GaiaSource_207306-207349.csv.fapec  504063   299.534798  302.342470  19.949041   21.539965
GaiaSource_207350-207375.csv.fapec  518520   294.612435  301.463684  16.959242   22.023415
GaiaSource_207376-207396.csv.fapec  490547   294.258266  296.717484  17.584233   18.838454
GaiaSource_207397-207417.csv.fapec  492556   293.907987  296.015230  17.896543   19.152092
GaiaSource_207418-207440.csv.fapec  512367   294.609965  297.596429  18.212428   19.470497
GaiaSource_207441-207465.csv.fapec  498373   295.489962  298.123950  18.841311   20.103732
GaiaSource_207466-207491.csv.fapec  496193   293.556543  297.421261  18.210739   20.741227
GaiaSource_207492-207524.csv.fapec  500060   292.853163  295.310538  18.526217   20.103909
GaiaSource_207525-207556.csv.fapec  501659   292.502267  295.838692  19.155682   20.739645
GaiaSource_207557-207587.csv.fapec  504032   294.259945  296.718013  19.790366   21.380625
GaiaSource_207588-207629.csv.fapec  513336   293.908687  298.826460  19.472247   22.017547
GaiaSource_207630-207656.csv.fapec  512158   296.894652  299.528923  20.106680   21.380994
GaiaSource_207657-207681.csv.fapec  503180   296.719556  299.881036  20.583402   22.023186
GaiaSource_207682-207715.csv.fapec  507903   298.479268  300.935732  20.903472   22.669041
GaiaSource_207716-207749.csv.fapec  525728   296.369085  300.233602  20.743963   23.315000
GaiaSource_207750-207782.csv.fapec  509747   295.666144  298.124275  21.064699   22.668710
GaiaSource_207783-207819.csv.fapec  515058   295.316137  298.826492  21.706164   23.314727
GaiaSource_207820-207852.csv.fapec  527074   296.720157  299.529851  22.669829   23.968539
GaiaSource_207853-207918.csv.fapec  520569   297.073034  305.155388  19.479241   24.622009
GaiaSource_207919-208001.csv.fapec  518846   302.170978  306.557558  20.744117   23.316123
GaiaSource_208002-208052.csv.fapec  515931   300.938149  303.748724  20.902955   22.668168
GaiaSource_208053-208113.csv.fapec  515235   301.642672  305.153620  22.030443   23.967377
GaiaSource_208114-208201.csv.fapec  513221   303.050263  308.670740  22.026362   24.622627
GaiaSource_208202-208290.csv.fapec  508752   304.102513  309.370626  23.319903   25.940017
GaiaSource_208291-208363.csv.fapec  511736   303.752238  307.961502  24.297562   26.608031
GaiaSource_208364-208417.csv.fapec  519326   300.061713  307.260354  22.026557   27.276827
GaiaSource_208418-208472.csv.fapec  518060   299.535985  303.748702  22.832906   24.952486
GaiaSource_208473-208536.csv.fapec  517415   298.828867  303.395641  23.319545   25.942653
GaiaSource_208537-208596.csv.fapec  521745   298.126311  302.163131  23.972728   25.943216
GaiaSource_208597-208655.csv.fapec  509791   299.538459  304.450108  24.627064   27.279244
GaiaSource_208656-208716.csv.fapec  509451   302.346256  305.856341  25.283510   27.276497
GaiaSource_208717-208781.csv.fapec  509643   301.642913  306.558208  25.947564   28.629785
GaiaSource_208782-208874.csv.fapec  518907   300.939593  305.150432  26.611111   29.311169
GaiaSource_208875-209103.csv.fapec  519285   302.520536  317.809169  19.474063   29.997891
GaiaSource_209104-209404.csv.fapec  521708   313.597687  320.620552  22.025529   26.942763
GaiaSource_209405-209585.csv.fapec  517654   309.376786  318.155779  22.025804   27.271171
GaiaSource_209586-209771.csv.fapec  512678   310.083311  317.807053  24.625324   27.949907
GaiaSource_209772-209960.csv.fapec  510955   312.193050  322.023615  24.627255   29.998087
GaiaSource_209961-210286.csv.fapec  517207   317.815759  326.249569  25.782540   30.683424
GaiaSource_210287-210550.csv.fapec  516422   316.409724  325.542698  27.282179   32.794857
GaiaSource_210551-210734.csv.fapec  512349   315.000747  322.030552  28.633219   32.790712
GaiaSource_210735-210922.csv.fapec  508364   317.815213  323.435406  31.391720   34.943924
GaiaSource_210923-211039.csv.fapec  511324   307.972145  321.324269  24.628323   35.683805
GaiaSource_211040-211134.csv.fapec  508239   306.562741  311.480464  25.946572   28.624965
