 oidref |                 id                 
676410  |"HIP  17702"                        
676410  |"NAME Alcyone"                      
688290  |"NAME Menkhib"                      
688290  |"HIP  18614"                        
688290  |"NAME Menkib"                       
689676  |"Gaia DR3 67538983502641792"        
689676  |"NAME LP 357-64a"                   
691409  |"NAME OKM2018 SWIFT J0358.9+1050"   
691409  |"Gaia DR3 3302976227405118720"      
691664  |"Gaia DR3 3301340188464342400"      
691664  |"NAME NC 20"                        
693612  |"HIP  18543"                        
693612  |"NAME Zaurak"                       
694055  |"NAME OKM2018 SWIFT J0402.4-1807"   
694055  |"Gaia DR3 5096951837510996224"      
697864  |"Gaia DR3 163233981593016064"       
697864  |"NAME Herbig's Anon 1"              
698038  |"Gaia DR3 164518589131083136"       
698038  |"HIP  20097"                        
698038  |"NAME V410 Tau AB"                  
698336  |"Gaia DR3 163178387536338944"       
698336  |"NAME IRAS 04114+2757G"             
698401  |"Gaia DR3 163184366130809984"       
698401  |"HIP  19762"                        
698401  |"NAME V773 Tau D"                   
698424  |"Gaia DR3 164513606967242624"       
698424  |"NAME Elia 3-1 NE"                  
698574  |"Gaia DR3 150183397046402688"       
698574  |"NAME NC 23"                        
701586  |"HIP  19587"                        
701586  |"NAME Beid"                         
702026  |"Gaia DR3 3195919528989223040"      
702026  |"HIP  19849"                        
702026  |"NAME Keid"                         
702083  |"NAME OKM2018 SWIFT J0407.9-1219"   
702083  |"Gaia DR3 3189105374395563264"      
706876  |"Gaia DR3 164504467278644096"       
706876  |"NAME WK X-Ray 1"                   
706930  |"Gaia DR3 164513572609331456"       
706930  |"NAME CoKu Tau 1"                   
707045  |"Gaia DR3 151273219226829184"       
707045  |"NAME HH 31 IRS 2"                  
707614  |"Gaia DR3 151262941369626752"       
707614  |"NAME V* FV Tau/c"                  
707614  |"NAME FV Tau/c"                     
707813  |"Gaia DR3 149367383323435648"       
707813  |"NAME GV Tau N"                     
707813  |"NAME Haro 6-10N"                   
707814  |"Gaia DR3 149367387618890624"       
707814  |"NAME Haro 6-10S"                   
707814  |"NAME GV Tau S"                     
708367  |"Gaia DR3 48026706558487040"        
708367  |"HIP  20889"                        
708367  |"NAME Ain"                          
708409  |"Gaia DR3 48190190192608896"        
708409  |"NAME Lowne 1"                      
708410  |"Gaia DR3 48191667661477120"        
708410  |"NAME Lowne 2"                      
708450  |"Gaia DR3 48192969034959232"        
708450  |"HIP  20390"                        
708450  |"NAME T Tau A"                      
708450  |"NAME T Tau N"                      
708450  |"NAME T Tau S"                      
708450  |"NAME T Tau IRC"                    
708551  |"HIP  20205"                        
708551  |"NAME Prima Hyadum"                 
708562  |"Gaia DR3 3314024566919613952"      
708562  |"HIP  20455"                        
708562  |"NAME Secunda Hyadum"               
708990  |"Gaia DR3 3312744219988782720"      
708990  |"HIP  20894"                        
708990  |"NAME Chamukuy"                     
709085  |"Gaia DR3 3313560779170246528"      
709085  |"NAME NC 24"                        
709158  |"Gaia DR3 3310612404379251840"      
709158  |"NAME LH 0418+13"                   
710221  |"NAME OKM2018 SWIFT J0427.0+0734"   
710221  |"Gaia DR3 3286749669162910464"      
711905  |"NAME OKM2018 SWIFT J0427.6-1201"   
711905  |"Gaia DR3 3178638088122006016"      
713969  |"Gaia DR3 4884779765893739904"      
713969  |"NAME Montuno"                      
714141  |"Gaia DR3 4871775051598300160"      
714141  |"HIP  20535"                        
714141  |"NAME Beemim"                       
714706  |"NAME OKM2018 SWIFT J0428.6-3788"   
714706  |"Gaia DR3 4865661388990395264"      
716990  |"Gaia DR3 159334151287938048"       
716990  |"NAME TOA V15"                      
717570  |"Gaia DR3 147847072275324416"       
717570  |"NAME HK Tau C"                     
717601  |"Gaia DR3 147778284078308096"       
717601  |"NAME Elias 12S"                    
717607  |"Gaia DR3 147778490237623808"       
717607  |"NAME Elias 12N"                    
717655  |"Gaia DR3 147940663906992512"       
717655  |"NAME Tau 1"                        
717711  |"Gaia DR3 147831571737487488"       
717711  |"NAME WK X-2"                       
717711  |"NAME WK X-Ray 2"                   
717996  |"Gaia DR3 148450115749097216"       
717996  |"NAME DO Tau/c"                     
718137  |"Gaia DR3 148374391180009600"       
718137  |"NAME IC 2087 IR"                   
718226  |"Gaia DR3 147869573608324992"       
718226  |"NAME ZZ Tau IRS"                   
718419  |"Gaia DR3 145213192171159552"       
718419  |"NAME HP Tau/G2"                    
718510  |"Gaia DR3 145213192171160064"       
718510  |"NAME HP Tau/G3"                    
718956  |"Gaia DR3 3314312226648610560"      
718956  |"NAME CoKu Tau 2"                   
719086  |"Gaia DR3 3314258999116827776"      
719086  |"NAME FK 1"                         
719127  |"Gaia DR3 3314338163954491136"      
719127  |"NAME FK X-2"                       
719127  |"NAME FK 2"                         
719377  |"HIP  21421"                        
719377  |"NAME Aldebaran"                    
719637  |"Gaia DR3 3314132593936905600"      
719637  |"NAME GG Tau A+a"                   
719707  |"Gaia DR3 3314311981834278912"      
719707  |"NAME HH 30 IRS"                    
720999  |"Gaia DR3 3282351760091020672"      
720999  |"HIP  21109"                        
720999  |"NAME Hoggar"                       
725508  |"HIP  21594"                        
725508  |"NAME Sceptrum"                     
727744  |"Gaia DR3 3174353566186429184"      
727744  |"NAME L 1642-2b"                    
729349  |"HIP  21393"                        
729349  |"NAME Theemin"                      
730327  |"Gaia DR3 4864752883148064512"      
730327  |"NAME LHS 193B"                     
730715  |"Gaia DR3 204531088580182016"       
730715  |"HIP  22365"                        
730715  |"NAME Bidelman's Star"              
731622  |"Gaia DR3 174362585455566464"       
731622  |"NAME Westbrook Nebula"             
732056  |"Gaia DR3 159965197946584320"       
732056  |"NAME UY Aur B"                     
732056  |"NAME UY Aur A"                     
732084  |"Gaia DR3 158048409878217216"       
732084  |"NAME CoKu Tau 4"                   
732084  |"NAME CoKu Tauri/4"                 
732226  |"Gaia DR3 158249306976130176"       
732226  |"NAME DS Tau A"                     
732298  |"Gaia DR3 158249311268471808"       
732298  |"NAME DS Tau B"                     
732356  |"Gaia DR3 148116177746232192"       
732356  |"NAME LkHa 332/G1"                  
734722  |"Gaia DR3 3288921720025503360"      
734722  |"HIP  22449"                        
734722  |"NAME Tabit"                        
735534  |"Gaia DR3 3230955982403760384"      
735534  |"NAME NC 26"                        
739153  |"Gaia DR3 4893980371818915456"      
739153  |"HIP  22491"                        
739153  |"NAME Mouhoun"                      
741050  |"Gaia DR3 205499655242974464"       
741050  |"HIP  23416"                        
741050  |"NAME Almaaz"                       
741515  |"HIP  23453"                        
741515  |"NAME Saclateni"                    
742177  |"Gaia DR3 160886283751041408"       
742177  |"HIP  23015"                        
742177  |"NAME Hassaleh"                     
742235  |"Gaia DR3 184654667126468608"       
742235  |"NAME Kur sv"                       
742963  |"Gaia DR3 3419908567464902400"      
742963  |"NAME NC 27"                        
742966  |"Gaia DR3 3420008412568724736"      
742966  |"NAME FK X-3"                       
742966  |"NAME FK 3"                         
743246  |"Gaia DR3 3419512983797945728"      
743246  |"NAME NC 29"                        
747271  |"Gaia DR3 3238412973343959552"      
747271  |"NAME GHIGO"                        
755025  |"HIP  23767"                        
755025  |"NAME Haedus"                       
756382  |"Gaia DR3 184920542782343040"       
756382  |"NAME NC 30"                        
757131  |"Gaia DR3 3421922357371699840"      
757131  |"NAME NC 31"                        
757337  |"Gaia DR3 3421905349301378432"      
757337  |"NAME Ts 492"                       
771110  |"Gaia DR3 3211922645854328832"      
771110  |"HIP  23875"                        
771110  |"NAME Cursa"                        
771345  |"HIP  24436"                        
771345  |"NAME Rigel"                        
776239  |"Gaia DR3 195266088206848768"       
776239  |"NAME Paloma"                       
782231  |"Gaia DR3 3420973302742083712"      
782231  |"NAME NC 32"                        
782955  |"Gaia DR3 3395642242761606912"      
782955  |"NAME IRAS 05137+1901B"             
783560  |"Gaia DR3 3387169573660245120"      
783560  |"NAME NC 34"                        
783633  |"Gaia DR3 3387347904998635776"      
783633  |"NAME NC 35"                        
784400  |"HIP  25336"                        
784400  |"NAME Bellatrix"                    
785937  |"Gaia DR3 3221553165121825536"      
785937  |"NAME Hamuy Var"                    
785937  |"NAME Hamuy's Star"                 
787294  |"Gaia DR3 3013256871994421632"      
787294  |"NAME NC 37"                        
791581  |"Gaia DR3 195594120629043456"       
791581  |"NAME NC 39"                        
793043  |"Gaia DR3 3449518037644343040"      
793043  |"NAME Holoea"                       
793085  |"Gaia DR3 3449181243491690112"      
793085  |"NAME AFGL 5142 IRS 2"              
794302  |"HIP  25428"                        
